,name,classification
0,もも貴族焼（たれ）,焼鳥
1,もも貴族焼（塩）,焼鳥
2,もも貴族焼（スパイス）,焼鳥
3,むね貴族焼（たれ）,焼鳥
4,むね貴族焼（塩）,焼鳥
5,むね貴族焼（スパイス）,焼鳥
6,三角（ぼんじり）,焼鳥
7,手羽先,焼鳥
8,つくね塩,焼鳥
9,ささみ,焼鳥
10,ハート塩 -ガーリック入-,焼鳥
11,砂ずり（砂肝）,焼鳥
12,かわ塩,焼鳥
13,やげんなんこつ,焼鳥
14,ひざなんこつ,焼鳥
15,せせり -ガーリック入-,焼鳥
16,みたれ（もも肉）,焼鳥
17,きも（レバー）,焼鳥
18,つくねチーズ焼,焼鳥
19,つくねたれ,焼鳥
20,かわたれ,焼鳥
21,ハートたれ,焼鳥
22,骨付まつばのスパイス焼,焼鳥
23,"ピーマン肉詰
-ポン酢味-",焼鳥
24,ささみわさび焼,焼鳥
25,むね肉明太マヨネーズ風焼,焼鳥
26,もちもちチーズ焼,焼鳥
27,牛串焼 -果実とにんにくの旨味-,焼鳥
28,豚バラ串焼,焼鳥
29,トリキの唐揚,逸品料理
30,ポテトフライ,逸品料理
31,北海道産和風ポテトさらだ【北海道産馬鈴薯(さやか)使用！】,逸品料理
32,よだれどり,逸品料理
33,粗挽ポークソーセージ串焼,逸品料理
34,チキン南蛮,逸品料理
35,カマンベールコロッケ,逸品料理
36,ひざなんこつ唐揚,逸品料理
37,ふんわり山芋の鉄板焼,逸品料理
38,超！白ねぎ塩こんぶ,スピードメニュー
39,"ホルモンねぎ盛ポン酢
【数量限定】",スピードメニュー
40,枝豆,スピードメニュー
41,国産大豆の冷やっこ,スピードメニュー
42,チャンジャ,スピードメニュー
43,親鶏炙り焼　-塩ポン酢味-,スピードメニュー
44,"キャベツ盛
【おかわり自由】",スピードメニュー
45,ピリ辛キューリ漬,スピードメニュー
46,味付煮玉子,スピードメニュー
47,とり釜飯,ご飯もの／デザート
48,とり雑炊,ご飯もの／デザート
49,焼とり丼,ご飯もの／デザート
50,カシスシャーベット,ご飯もの／デザート
51,黒蜜抹茶きな粉アイス,ご飯もの／デザート
52,メガハイボール（ジムビーム）,ドリンク
53,メガ金麦 ※ビール系飲料,ドリンク
54,ザ・プレミアム・モルツ,ドリンク
55,"ジムビームホワイト　／30ml
＜ロック／水割／ストレート＞",ドリンク
56,"角瓶　／30ml
＜ロック／水割／ストレート＞",ドリンク
57,"知多　／30ml
＜ロック／水割／ストレート＞",ドリンク
58,角ハイボール,ドリンク
59,知多ハイボール,ドリンク
60,"コーラハイ
＜ウイスキー＋コーラ＞",ドリンク
61,"ジンジャーハイ
＜ウイスキー＋ジンジャーエール＞",ドリンク
62,オールフリー（ノンアルコール）,ドリンク
63,大人のホットジンジャー,ドリンク
64,大人のジンジャーソーダ,ドリンク
65,大人のはちみつレモン,ドリンク
66,みかん,ドリンク
67,ラムネ,ドリンク
68,グレープフルーツ,ドリンク
69,レモン,ドリンク
70,ゆずはちみつ,ドリンク
71,緑茶ハイ（玄米入）,ドリンク
72,ウーロンハイ,ドリンク
73,"山崎蒸溜所貯蔵
焙煎樽仕込梅酒　／60ml",ドリンク
74," 
紀州の南高梅酒　／90ml",ドリンク
75,カシスミルク,ドリンク
76,カシスソーダ,ドリンク
77,カシスオレンジ,ドリンク
78,カシスウーロン,ドリンク
79,ピーチフィズ,ドリンク
80,ピーチウーロン,ドリンク
81,ファジーネーブル,ドリンク
82,カルーアミルク,ドリンク
83,"シャンディ・ガフ
＜ビール＋ジンジャーエール＞",ドリンク
84,トリキブラン（白）,ドリンク
85,トリキルージュ（赤）,ドリンク
86,サングリア（赤）,ドリンク
87,それから　／麦　90ml,ドリンク
88,吉兆宝山　／芋　60ml （熟成）,ドリンク
89,一刻者　／芋　60ml,ドリンク
90,鍛高譚　／しそ　90ml,ドリンク
91,松竹梅 豪快 純米酒＜カップ酒＞,ドリンク
92,"にごり杏露酒　／60ml
＜ロック／ソーダ割＞",ドリンク
93,"ジーマ
 ",ドリンク
94,ウーロン茶,ドリンク
95,ミックスジュース,ドリンク
96,オレンジジュース,ドリンク
97,ジンジャーエール,ドリンク
98,C.C.レモン,ドリンク
99,コーラ,ドリンク
100,ホットウーロン茶,ドリンク
101,キッズ・ウーロン茶,ドリンク
102,キッズ・ミックスジュース,ドリンク
103,キッズ・オレンジジュース,ドリンク
104,キッズ・ジンジャーエール,ドリンク
105,キッズ・C.C.レモン,ドリンク
106,キッズ・コーラ,ドリンク
